State,FIPS,inc.2008,inc.2009,inc.2010,inc.2011,inc.2012,inc.3yr,inc.5yr,pop.5y,inc.rate,harm.rate,Number; SEX AND AGE - Total population,Percent; SEX AND AGE - Total population - 10 to 14 years,Percent; SEX AND AGE - Total population - 15 to 19 years,Percent; SEX AND AGE - Total population - 55 to 59 years,Percent; SEX AND AGE - Total population - 60 to 64 years,Percent; RACE - Total population - One Race - White,Percent; RACE - Total population - One Race - Black or African American,Percent; RACE - Total population - One Race - Asian,Percent; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race),Percent; RELATIONSHIP - Total population - In households - Other relatives - Under 18 years,Percent; RELATIONSHIP - Total population - In households - Other relatives - 65 years and over,Percent; RELATIONSHIP - Total population - In households - Nonrelatives,Percent; RELATIONSHIP - Total population - In households - Nonrelatives - Unmarried partner,Percent; RELATIONSHIP - Total population - In group quarters - Institutionalized population,Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) [7],Percent; HOUSING OCCUPANCY - Total housing units - Vacant housing units,Divorce,Marriage,Percent; HOUSEHOLDS BY TYPE - Family households (families) - Married-couple family,Percent; HOUSEHOLDS BY TYPE - Nonfamily households - Householder living alone,Percent; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over,Estimate; HOUSEHOLDS BY TYPE - Average household size,Estimate; HOUSEHOLDS BY TYPE - Average family size,Percent Margin of Error; RELATIONSHIP - Nonrelatives,Percent; RELATIONSHIP - Nonrelatives - Unmarried partner,Percent; MARITAL STATUS - Never married,"Percent; MARITAL STATUS - Now married, except separated",Percent; MARITAL STATUS - Separated,Percent; MARITAL STATUS - Widowed,Percent; MARITAL STATUS - Divorced,"Estimate; FERTILITY - Per 1,000 women 15 to 50 years old",Percent; GRANDPARENTS - Responsible for grandchildren,Percent; EDUCATIONAL ATTAINMENT - Less than 9th grade,"Percent; EDUCATIONAL ATTAINMENT - 9th to 12th grade, no diploma",Percent; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency),"Percent; EDUCATIONAL ATTAINMENT - Some college, no degree",Percent; EDUCATIONAL ATTAINMENT - Bachelor's degree,Percent; EDUCATIONAL ATTAINMENT - Graduate or professional degree,Percent; EDUCATIONAL ATTAINMENT - Percent high school graduate or higher,Percent; EDUCATIONAL ATTAINMENT - Percent bachelor's degree or higher,Percent; VETERAN STATUS - Civilian veterans,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability,Percent; RESIDENCE 1 YEAR AGO - Same house,Percent; PLACE OF BIRTH - Native - Born in United States - State of residence,Percent; PLACE OF BIRTH - Foreign born,Percent; EMPLOYMENT STATUS - In labor force,Percent; EMPLOYMENT STATUS - In labor force - Armed Forces,Percent; EMPLOYMENT STATUS - Percent Unemployed,Percent; EMPLOYMENT STATUS - In labor force,Percent; EMPLOYMENT STATUS - All parents in family in labor force,Percent; CLASS OF WORKER - Government workers,Estimate; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Median household income (dollars),Estimate; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Mean household income (dollars),Percent; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - With Food Stamp/SNAP benefits in the past 12 months,Percent; HEALTH INSURANCE COVERAGE - With health insurance coverage,Percent; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All families,Percent; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All families - With related children under 18 years,Percent; HOUSING OCCUPANCY - Vacant housing units,Estimate; VALUE - Median (dollars),Estimate; GROSS RENT - Median (dollars)
1,1073,1,0,1,1,0,2,3,272031,11.02815488,33.333333,658466,6.4,6.8,6.8,5.5,53,42,1.4,3.9,3.3,0.8,4.5,1.9,1.1,64.6,12.3,26.41087592,25.6635386,42.6,31.1,24.4,2.5,3.18,4,1.4,35.9,47.8,2.5,3,10.7,60,54.8,3.5,9.4,26.4,23.4,18.2,11.5,87.1,29.7,9.4,14.2,83.4,75.4,4.3,61.8,0.1,10.9,57.3,68.2,15.2,43809,64446,15.2,86.8,14.4,23,14.5,141900,782
4,4013,0,1,2,2,0,4,5,1093055,4.574335235,60,3817117,7.3,7.3,5.5,5,73,5,3.5,29.6,2.9,0.9,6.7,2.9,0.7,66.1,13.9,20.44999208,22.35931249,47,27,24,2.73,3.35,6.8,2.6,36.9,49.2,1.5,2.2,10.2,58,36.9,6.4,7.2,23.5,25.3,19.1,10.3,86.4,29.4,9.6,9.8,79.7,37,14.8,64.3,0.1,9.9,58.1,61.2,12.2,51976,70483,12.2,82.6,12.6,19.9,14.8,167100,921
4,4021,1,5,2,2,2,6,12,169512,70.79144839,41.666667,375770,7,6,5.5,5.9,72.4,4.6,1.7,28.5,3.3,0.9,5.4,2.8,6.8,73.4,21.1,20.72257272,18.84065542,54.9,22.8,30.2,2.95,3.48,5.5,2.5,33.6,50.3,1.5,3.2,11.4,53,50.6,5.8,9.5,29.6,27.6,12.3,6.1,84.7,18.4,13.1,11.8,80.2,39.2,10.3,51.9,0.1,14.3,49.2,54.8,21.3,48794,58128,12.2,84,10.3,16.1,24,112100,965
4,4027,0,2,0,2,0,2,4,409888,9.75876337,75,195751,7.9,8.3,4.9,4.8,70.4,2,1.2,59.7,4.3,1.1,4.2,2.2,1.9,75.6,26.3,32.99119281,37.70058352,56.5,17.5,30.9,2.72,3.08,3.8,2.3,31.4,55,2.2,2.6,8.8,58,32.5,14.8,12.7,24.9,26.4,9.6,4.6,72.5,14.2,11.1,11.9,81.5,34.7,24.6,54.7,2.5,14.1,48.5,60.2,23.2,41060,51781,21.5,78.2,18,26.8,20.8,116900,827
5,5001,2,2,0,0,2,2,6,95331,62.93860339,33.333333,19019,6.7,6.4,7.7,6.4,71.8,24.5,0.5,2.7,3,0.6,4.5,2.5,1.2,66.3,15.2,28.86556318,32.04738761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5003,1,0,0,0,0,0,1,109745,9.112032439,100,21853,7,7.1,6.7,6.5,69.3,25.8,0.2,4.9,3.7,0.8,3.2,1.7,0.7,71,13.5,28.96551724,78.07149706,52.4,27,29.2,2.47,2.95,2.4,0.9,24.6,58,2.3,3.5,11.7,N,67.5,5,11.3,43.9,21.6,8.9,4.3,83.7,13.2,9.2,18.8,87.1,66.9,1.8,56.2,0,10.4,50.2,60.3,17.1,38725,49839,18.3,84.4,13.8,22,14.1,62100,547
5,5005,1,0,0,0,0,0,1,211184,4.735207213,0,41513,5.1,5.1,7.4,8.4,96.9,0.2,0.4,1.7,1.7,0.8,4.1,2.3,1,66,17,23.25258233,33.79612715,52.6,29.3,44.1,2.29,2.81,4.5,2,20.8,58.7,0.8,5.6,14.1,43,56.8,4.2,9,37,27,12.4,3.9,86.8,16.3,17,21.9,86.8,37.4,1.7,46.4,0.1,10.3,46.3,64.6,14.4,34256,47807,11.9,86.1,10.9,22,21.5,117500,590
5,5007,1,1,3,6,1,10,12,1081774,11.09289001,33.333333,221339,7.6,6.6,5.2,4.7,82.6,1.3,2.9,15.5,2.1,0.6,4.5,2.2,0.4,72.4,11.8,23.3358114,41.7399608,60.7,21.5,23.1,2.77,3.26,4,1.5,27.9,61.9,1,1.9,7.4,51,49.1,7,7,30.8,20.3,19.7,9.4,86.1,29.1,10,9.5,82.1,39.2,11.4,64.3,0.3,5.4,56.3,57.9,8.9,53964,70744,9.3,84.7,8.5,13.5,13.7,147900,757
5,5009,1,0,1,0,0,1,2,185855,10.76107718,0,36903,6.6,6.6,6.8,6.5,96.5,0.2,0.4,1.8,2.2,0.7,4,2.1,1,69.1,10.1,28.96767699,115.764856,56.9,24.9,29.7,2.41,2.87,3,0.9,21.5,62.5,0.5,3.2,12.3,81,64.6,6.6,7.9,37.9,26.5,9.2,5.1,85.5,14.3,11.8,20.5,84.8,51.8,1.4,55.8,0,8.7,49.9,61.5,15.5,36800,51425,14.9,83.5,14,22,10.2,108200,553
5,5011,1,0,0,1,0,1,2,56375,35.4767184,0,11508,6.1,6.7,6.9,5.8,60.3,27.6,0.2,13.2,3.1,0.7,3.1,1.7,1.2,67.1,20.3,35.3569046,38.37850804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
