FIPS,relover65,nonrelatives,college,samehouse,employed,income,rent,pop
01073,0.8,4,23.4,83.4,61.8,43809,782,658466
04013,0.9,6.8,25.3,79.7,64.3,51976,921,3817117
04021,0.9,5.5,27.6,80.2,51.9,48794,965,375770
04027,1.1,3.8,26.4,81.5,54.7,41060,827,195751
05001,0.6,,,,,,,19019
05003,0.8,2.4,21.6,87.1,56.2,38725,547,21853
05005,0.8,4.5,27,86.8,46.4,34256,590,41513
05007,0.6,4,20.3,82.1,64.3,53964,757,221339
05009,0.7,3,26.5,84.8,55.8,36800,553,36903
05011,0.7,,,,,,,11508
05015,0.8,4.6,23.3,78.4,57.2,35263,654,27446
05027,0.7,5.2,21.9,83.5,55.4,33796,560,24552
05031,0.6,6.6,22.7,74.9,63,40907,639,96443
05033,0.7,3.4,23.4,84.2,57.5,38495,600,61948
05035,0.9,3.3,24.2,79.8,63.3,36398,650,50902
05037,0.7,,,,,,,17870
05041,0.8,,,,,,,13008
05043,0.6,,,,,,,18509
05045,0.6,7.4,23.7,82.2,66.8,50066,692,113237
05047,0.7,,,,,,,18125
05051,0.8,5.3,24.9,81.1,55.4,38201,726,96024
05057,0.9,4.2,25.2,85.7,61.1,29849,591,22609
05059,0.7,6.3,21.2,87.8,56.9,41016,645,32923
05061,0.7,,,,,,,13789
05063,0.7,6.7,21.6,84.7,58.2,33058,584,36647
05069,0.8,4.2,22.6,83.3,57.2,37485,646,77435
05071,0.7,3.8,18.6,86.9,57.3,32389,609,25540
05081,0.6,,,,,,,13171
05083,0.7,3.8,22.2,87.4,55.3,36113,504,22353
05085,0.7,3.3,24.2,86.6,66.7,50730,685,68356
05087,0.8,,,,,,,15717
05091,0.7,2.7,23.6,79.3,59.6,38380,662,43462
05093,0.7,4.7,21,82.3,57.7,36226,599,46480
05101,0.9,,,,,,,8330
05103,0.8,2.1,21.5,89.5,57.3,32668,561,26120
05107,0.9,3.9,23.2,85.7,56.6,27337,605,21757
05111,0.7,5.3,19.9,78.5,55.5,30016,521,24583
05113,0.7,3.4,28.9,92,53.7,32830,501,20662
05115,0.6,3.9,22.6,82.6,62.2,39471,606,61754
05119,0.7,5.5,23.4,83,65.4,45256,759,382748
05123,0.7,3.1,23.4,81.7,51.1,32771,590,28258
05125,0.7,3.7,23.4,88.4,64,54847,781,107118
05127,0.8,,,,,,,11233
05131,0.7,4.7,24.3,84.7,60.7,39106,614,125744
05133,0.7,,,,,,,17058
05135,0.7,,,,,,,17264
05137,0.7,,,,,,,12394
05139,0.7,3.5,21.4,87.1,56.4,39300,603,41639
05141,0.8,,,,,,,17295
05143,0.6,6.1,22,75.2,67,40511,685,203065
05145,0.7,3.6,21.9,86.7,57.4,41839,600,77076
05149,0.8,4.1,17.4,89.7,55.3,38130,519,22185
08001,0.9,6.1,22.8,81.9,71,55004,965,441603
08005,0.8,5.4,23.6,80.1,72,59978,964,572003
08007,0.5,,,,,,,12084
08009,0.5,,,,,,,3788
08013,0.5,10.3,17.5,76.5,70.3,66783,1082,294567
08014,0.7,5.3,22.2,82.8,73.7,77239,1137,55889
08031,0.6,9.5,18.7,76.4,71.1,49049,863,600158
